id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
7.90491E+17,Paul_Shoker,2017 #Hass #avocado crop has gone from flowering to fruit set. Looking good so far but too early to tell this far o… https://t.co/0qrYjmEZIa,Mon Oct 24 09:50:15 +0000 2016,24/10/16 10:50,,en,,,1429950312,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/447678458877849600/OpW6B-MH_normal.jpeg,655,674,Coffs Harbour,http://twitter.com/Paul_Shoker/statuses/790490578618241024,"{""hashtags"":[{""text"":""Hass"",""indices"":[5,10]},{""text"":""avocado"",""indices"":[11,19]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/0qrYjmEZIa"",""expanded_url"":""https://twitter.com/i/web/status/790490578618241024"",""display_url"":""twitter.com/i/web/status/7…"",""indices"":[117,140]}]}"
7.9049E+17,PIPAdviser,"#MasterChef' lifestyles keeps Gen Y out of #property market, reports JoannaMather. https://t.co/S1CBX2UUUR #ausbiz #smashedavo Financial…",Mon Oct 24 09:49:10 +0000 2016,24/10/16 10:49,,en-gb,,,3277090512,,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",http://pbs.twimg.com/profile_images/620172870325383170/dJWr1meB_normal.png,250,37,,http://twitter.com/PIPAdviser/statuses/790490308014374914,"{""hashtags"":[{""text"":""MasterChef"",""indices"":[1,12]},{""text"":""property"",""indices"":[44,53]},{""text"":""ausbiz"",""indices"":[109,116]},{""text"":""smashedavo"",""indices"":[117,128]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/S1CBX2UUUR"",""expanded_url"":""http://bit.ly/2ewo2lp"",""display_url"":""bit.ly/2ewo2lp"",""indices"":[85,108]}]}"
7.90489E+17,FinancialReview,"#MasterChef' lifestyles keeps Gen Y out of #property market, reports @JoannaMather. https://t.co/Fc6TJ74VI2 #ausbiz #smashedavo",Mon Oct 24 09:45:00 +0000 2016,24/10/16 10:45,,en,,,19050000,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/1859209249/Twitter_icon_normal.jpg,174757,255,Australia,http://twitter.com/FinancialReview/statuses/790489260319055872,"{""hashtags"":[{""text"":""MasterChef"",""indices"":[1,12]},{""text"":""property"",""indices"":[44,53]},{""text"":""ausbiz"",""indices"":[110,117]},{""text"":""smashedavo"",""indices"":[118,129]}],""symbols"":[],""user_mentions"":[{""screen_name"":""JoannaMather"",""name"":""Joanna Mather"",""id"":405214098,""id_str"":""405214098"",""indices"":[70,83]}],""urls"":[{""url"":""https://t.co/Fc6TJ74VI2"",""expanded_url"":""http://bit.ly/2ewo2lp"",""display_url"":""bit.ly/2ewo2lp"",""indices"":[86,109]}]}"
7.90486E+17,CarlySawatzki,RT @theage: Peak Australia: #SmashedAvo has been trending all week. https://t.co/ELfHNeweSf,Mon Oct 24 09:32:47 +0000 2016,24/10/16 10:32,,en,,,42598656,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/787959504449118208/t5sZ3mON_normal.jpg,70,139,Melbourne,http://twitter.com/CarlySawatzki/statuses/790486184203919361,"{""hashtags"":[{""text"":""SmashedAvo"",""indices"":[28,39]}],""symbols"":[],""user_mentions"":[{""screen_name"":""theage"",""name"":""The Age"",""id"":32201814,""id_str"":""32201814"",""indices"":[3,10]}],""urls"":[{""url"":""https://t.co/ELfHNeweSf"",""expanded_url"":""http://www.theage.com.au/money/saving/avocado-economics-for-firsthome-buyers-20161021-gs7ti7.html"",""display_url"":""theage.com.au/money/saving/a…"",""indices"":[68,91]}]}"
7.9048E+17,johnnyshap,"RT @FinancialReview: ""Did you say you wanted paprika on your #smashedavo?"" @roweafr's latest cartoon. For more: https://t.co/c2WDgg6xMJ #…",Mon Oct 24 09:09:05 +0000 2016,24/10/16 10:09,,en,,,40429884,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/698437596666433536/I_FJwBbk_normal.jpg,2629,1113,"Sydney, New South Wales",http://twitter.com/johnnyshap/statuses/790480220889292800,"{""hashtags"":[{""text"":""smashedavo"",""indices"":[62,73]}],""symbols"":[],""user_mentions"":[{""screen_name"":""FinancialReview"",""name"":""Financial Review"",""id"":19050000,""id_str"":""19050000"",""indices"":[3,19]},{""screen_name"":""roweafr"",""name"":""david rowe"",""id"":499435681,""id_str"":""499435681"",""indices"":[76,84]}],""urls"":[{""url"":""https://t.co/c2WDgg6xMJ"",""expanded_url"":""http://bit.ly/2cedx2d"",""display_url"":""bit.ly/2cedx2d"",""indices"":[114,137]}]}"
7.90479E+17,PaulHenry524,"RT @FinancialReview: ""Did you say you wanted paprika on your #smashedavo?"" @roweafr's latest cartoon. For more: https://t.co/c2WDgg6xMJ #…",Mon Oct 24 09:05:43 +0000 2016,24/10/16 10:05,,en,,,2511543733,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/654442407811936256/TR-R3VyI_normal.jpg,293,172,"Sydney, Australia",http://twitter.com/PaulHenry524/statuses/790479371576442880,"{""hashtags"":[{""text"":""smashedavo"",""indices"":[62,73]}],""symbols"":[],""user_mentions"":[{""screen_name"":""FinancialReview"",""name"":""Financial Review"",""id"":19050000,""id_str"":""19050000"",""indices"":[3,19]},{""screen_name"":""roweafr"",""name"":""david rowe"",""id"":499435681,""id_str"":""499435681"",""indices"":[76,84]}],""urls"":[{""url"":""https://t.co/c2WDgg6xMJ"",""expanded_url"":""http://bit.ly/2cedx2d"",""display_url"":""bit.ly/2cedx2d"",""indices"":[114,137]}]}"
7.90477E+17,ch_kels,"basically #smashedavohttps://t.co/WusK966cyL",Mon Oct 24 08:54:22 +0000 2016,24/10/16 9:54,,en,,,597580707,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/701652853434134529/5SnaH6tc_normal.jpg,211,344,"Adelaide, Australia",http://twitter.com/ch_kels/statuses/790476518052859904,"{""hashtags"":[{""text"":""smashedavo"",""indices"":[10,21]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/WusK966cyL"",""expanded_url"":""https://bornagainminimalist.com/2016/10/17/the-gaslighting-of-millennials/"",""display_url"":""bornagainminimalist.com/2016/10/17/the…"",""indices"":[22,45]}]}"
7.90476E+17,HydecomLorraine,"RT @FinancialReview: ""Did you say you wanted paprika on your #smashedavo?"" @roweafr's latest cartoon. For more: https://t.co/c2WDgg6xMJ #…",Mon Oct 24 08:52:19 +0000 2016,24/10/16 9:52,,en,,,1149827598,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/3512236040/f3715e0e816f28a6902eaade81c5a3bd_normal.jpeg,2053,1560,,http://twitter.com/HydecomLorraine/statuses/790476000949702660,"{""hashtags"":[{""text"":""smashedavo"",""indices"":[62,73]}],""symbols"":[],""user_mentions"":[{""screen_name"":""FinancialReview"",""name"":""Financial Review"",""id"":19050000,""id_str"":""19050000"",""indices"":[3,19]},{""screen_name"":""roweafr"",""name"":""david rowe"",""id"":499435681,""id_str"":""499435681"",""indices"":[76,84]}],""urls"":[{""url"":""https://t.co/c2WDgg6xMJ"",""expanded_url"":""http://bit.ly/2cedx2d"",""display_url"":""bit.ly/2cedx2d"",""indices"":[114,137]}]}"
7.90476E+17,MargaretHollin1,"RT @FinancialReview: ""Did you say you wanted paprika on your #smashedavo?"" @roweafr's latest cartoon. For more: https://t.co/c2WDgg6xMJ #…",Mon Oct 24 08:51:09 +0000 2016,24/10/16 9:51,,en,,,1426865454,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/642976179285192705/IiBh_2VN_normal.jpg,2111,4994,Wurundjeri Land,http://twitter.com/MargaretHollin1/statuses/790475708648656896,"{""hashtags"":[{""text"":""smashedavo"",""indices"":[62,73]}],""symbols"":[],""user_mentions"":[{""screen_name"":""FinancialReview"",""name"":""Financial Review"",""id"":19050000,""id_str"":""19050000"",""indices"":[3,19]},{""screen_name"":""roweafr"",""name"":""david rowe"",""id"":499435681,""id_str"":""499435681"",""indices"":[76,84]}],""urls"":[{""url"":""https://t.co/c2WDgg6xMJ"",""expanded_url"":""http://bit.ly/2cedx2d"",""display_url"":""bit.ly/2cedx2d"",""indices"":[114,137]}]}"
7.90473E+17,OttLegalRebels,RT @blairhudson: great insights from our @peppermoney speakers Mario Rehayem and @matthew_tinker at @mymgsm ____ #blockchain #smashedavo #big…,Mon Oct 24 08:42:20 +0000 2016,24/10/16 9:42,,en,,,1605693206,,"<a href=""http://www.gagnelaw.ca"" rel=""nofollow"">Telco </a>",http://pbs.twimg.com/profile_images/754727704822439936/vITkirPw_normal.jpg,31894,3491,"Ottawa, Ontario",http://twitter.com/OttLegalRebels/statuses/790473486154203136,"{""hashtags"":[{""text"":""blockchain"",""indices"":[111,122]},{""text"":""smashedavo"",""indices"":[123,134]}],""symbols"":[],""user_mentions"":[{""screen_name"":""blairhudson"",""name"":""Blair Hudson"",""id"":39458945,""id_str"":""39458945"",""indices"":[3,15]},{""screen_name"":""peppermoney"",""name"":""Pepper Money"",""id"":916046911,""id_str"":""916046911"",""indices"":[41,53]},{""screen_name"":""matthew_tinker"",""name"":""Matthew Tinker"",""id"":232696066,""id_str"":""232696066"",""indices"":[81,96]},{""screen_name"":""mymgsm"",""name"":""MGSM"",""id"":53329500,""id_str"":""53329500"",""indices"":[100,107]}],""urls"":[]}"
